FIPS,State,Year,Month,Employable Population,Employed,Unemployed,Unemployment Rate
01,Alabama,1976,01,1492409,1392154,100255,14.88613037
02,Alaska,1976,01,159154,147809,11345,14.02855884
04,Arizona,1976,01,972413,872738,99675,9.755836469
05,Arkansas,1976,01,882835,817756,65079,13.56558951
06,California,1976,01,9781720,8892663,889057,11.00235418
08,Colorado,1976,01,1232334,1164563,67771,18.18379543
09,Connecticut,1976,01,1443606,1302422,141184,10.22499717
10,Delaware,1976,01,262688,242382,20306,12.93647198
11,District of Columbia,1976,01,339378,308820,30558,11.10602788
12,Florida,1976,01,3592149,3248523,343626,10.45365892
13,Georgia,1976,01,2250451,2061744,188707,11.92563604
15,Hawaii,1976,01,408869,367414,41455,9.862959836
16,Idaho,1976,01,366173,346216,19957,18.34809841
17,Illinois,1976,01,5133491,4788469,345022,14.87873527
18,Indiana,1976,01,2418961,2260951,158010,15.30891083
19,Iowa,1976,01,1324627,1269103,55524,23.85683668
20,Kansas,1976,01,1061055,1015585,45470,23.33527601
21,Kentucky,1976,01,1489641,1406646,82995,17.94856317
22,Louisiana,1976,01,1513827,1417816,96011,15.76722459
23,Maine,1976,01,475639,433990,41649,11.42017816
24,Maryland,1976,01,1905561,1781850,123711,15.40332711
25,Massachusetts,1976,01,2715161,2435124,280037,9.695722351
26,Michigan,1976,01,3959251,3568988,390263,10.14508421
27,Minnesota,1976,01,1832797,1722777,110020,16.65876204
28,Mississippi,1976,01,961115,896774,64341,14.93783124
29,Missouri,1976,01,2088814,1963951,124863,16.72884682
30,Montana,1976,01,327276,308066,19210,17.03675169
31,Nebraska,1976,01,715752,692137,23615,30.30921025
32,Nevada,1976,01,322417,293574,28843,11.17834483
33,New Hampshire,1976,01,391585,364963,26622,14.7090752
34,New Jersey,1976,01,3281099,2944762,336337,9.75539117
35,New Mexico,1976,01,475004,432875,42129,11.27498873
36,New York,1976,01,7687165,6896554,790611,9.723068614
37,North Carolina,1976,01,2596329,2428430,167899,15.46363588
38,North Dakota,1976,01,275609,266394,9215,29.90873576
39,Ohio,1976,01,4756109,4371860,384249,12.37767437
40,Oklahoma,1976,01,1180825,1110620,70205,16.81967096
41,Oregon,1976,01,1074151,969974,104177,10.31082677
42,Pennsylvania,1976,01,5105548,4693332,412216,12.38561337
44,Rhode Island,1976,01,434960,399599,35361,12.30055711
45,South Carolina,1976,01,1292816,1195062,97754,13.22519795
46,South Dakota,1976,01,308735,298900,9835,31.39145907
47,Tennessee,1976,01,1819844,1710143,109701,16.58912863
48,Texas,1976,01,5627987,5298778,329209,17.09548342
49,Utah,1976,01,519498,489265,30233,17.18314425
50,Vermont,1976,01,213667,195099,18568,11.50727057
51,Virginia,1976,01,2328545,2190847,137698,16.91052158
53,Washington,1976,01,1584688,1446319,138369,11.45262306
54,West Virginia,1976,01,702600,647491,55109,12.7492787
55,Wisconsin,1976,01,2125315,2003102,122213,17.39025308
56,Wyoming,1976,01,175876,168592,7284,24.14552444
