Name,UserRating,Reviews,Price,Year
10-Day Green Smoothie Cleanse,4.7,17350,8,2016
11/22/63: A Novel,4.6,2052,22,2011
12 Rules for Life: An Antidote to Chaos,4.7,18979,15,2018
1984 (Signet Classics),4.7,21424,6,2017
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",4.8,7665,12,2019
A Dance with Dragons (A Song of Ice and Fire),4.4,12643,11,2011
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,4.7,19735,30,2014
A Gentleman in Moscow: A Novel,4.7,19699,15,2017
"A Higher Loyalty: Truth, Lies, and Leadership",4.7,5983,3,2018
A Man Called Ove: A Novel,4.6,23848,8,2016
A Man Called Ove: A Novel,4.6,23848,8,2017
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,4.6,460,2,2010
A Stolen Life: A Memoir,4.6,4149,32,2011
A Wrinkle in Time (Time Quintet),4.5,5153,5,2018
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",4.6,5013,17,2009
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",4.5,2313,4,2016
Adult Coloring Book: Stress Relieving Animal Designs,4.6,2925,6,2015
Adult Coloring Book: Stress Relieving Patterns,4.4,2951,6,2015
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",4.5,2426,8,2015
Alexander Hamilton,4.8,9198,13,2016
All the Light We Cannot See,4.6,36348,14,2014
All the Light We Cannot See,4.6,36348,14,2015
Allegiant,3.9,6310,13,2013
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,4.6,15921,9,2015
And the Mountains Echoed,4.3,12159,13,2013
Arguing with Idiots: How to Stop Small Minds and Big Government,4.6,798,5,2009
Astrophysics for People in a Hurry,4.7,9374,9,2017
"Autobiography of Mark Twain, Vol. 1",4.2,491,14,2010
Baby Touch and Feel: Animals,4.6,5360,5,2015
Balance (Angie's Extreme Stress Menders),4.6,1909,11,2015
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,4.8,1296,24,2012
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",4.7,615,21,2010
Becoming,4.8,61133,11,2018
Becoming,4.8,61133,11,2019
Being Mortal: Medicine and What Matters in the End,4.8,11113,15,2015
Between the World and Me,4.7,10070,13,2015
Between the World and Me,4.7,10070,13,2016
Born to Run,4.7,3729,18,2016
"Breaking Dawn (The Twilight Saga, Book 4)",4.6,9769,13,2009
"Broke: The Plan to Restore Our Trust, Truth and Treasure",4.5,471,8,2010
"Brown Bear, Brown Bear, What Do You See?",4.9,14344,5,2017
"Brown Bear, Brown Bear, What Do You See?",4.9,14344,5,2019
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",4.8,4505,0,2011
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),4.6,10369,4,2016
Can't Hurt Me: Master Your Mind and Defy the Odds,4.8,16244,18,2019
Capital in the Twenty First Century,4.5,2884,28,2014
Catching Fire (The Hunger Games),4.7,22614,11,2010
Catching Fire (The Hunger Games),4.7,22614,11,2011
Catching Fire (The Hunger Games),4.7,22614,11,2012
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,4.7,4761,16,2016
Crazy Love: Overwhelmed by a Relentless God,4.7,1542,14,2009
Crazy Love: Overwhelmed by a Relentless God,4.7,1542,14,2010
Crazy Love: Overwhelmed by a Relentless God,4.7,1542,14,2011
Crazy Rich Asians (Crazy Rich Asians Trilogy),4.3,6143,8,2018
Creative Haven Creative Cats Coloring Book (Adult Coloring),4.8,4022,4,2015
Creative Haven Owls Coloring Book (Adult Coloring),4.8,3871,5,2015
Cutting for Stone,4.6,4866,11,2010
Cutting for Stone,4.6,4866,11,2011
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",4.8,1329,10,2013
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",4.4,4642,13,2013
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),4.6,1541,4,2009
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",4.3,1924,8,2010
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",4.2,2094,4,2011
