Country,Year,CO2 Emissions
United States,1800,252816
United States,1801,267472
United States,1802,289456
United States,1803,296784
United States,1804,333424
United States,1805,340752
United States,1806,333424
United States,1807,377392
United States,1808,392048
United States,1809,403040
United States,1810,417696
United States,1811,447008
United States,1812,483648
United States,1813,520288
United States,1814,560592
United States,1815,600896
United States,1816,663184
United States,1817,718144
United States,1818,780432
United States,1819,762112
United States,1820,791424
United States,1821,828064
United States,1822,864704
United States,1823,901344
United States,1824,1014928
United States,1825,1135840
United States,1826,1315376
United States,1827,1447280
United States,1828,1593840
United States,1829,1795360
United States,1830,2088480
United States,1831,2264352
United States,1832,3022800
United States,1833,3528432
United States,1834,3381872
United States,1835,4316192
United States,1836,4730224
United States,1837,5305472
United States,1838,5030672
United States,1839,5517984
United States,1840,5873392
United States,1841,6214144
United States,1842,6917632
United States,1843,7764016
United States,1844,9306560
United States,1845,11204512
United States,1846,12710416
United States,1847,15070032
United States,1848,16784784
United States,1849,18221072
United States,1850,19792928
United States,1851,24633072
United States,1852,26791168
United States,1853,30162048
United States,1854,33159200
United States,1855,38160560
United States,1856,40036528
United States,1857,41055120
United States,1858,41648688
United States,1859,45320016
United States,1860,47437808
United States,1861,45679088
United States,1862,47448800
United States,1863,54809776
United States,1864,58656976
United States,1865,58821856
United States,1866,59232224
United States,1867,72865968
United States,1868,82352064
United States,1869,93695808
United States,1870,98620224
United States,1871,103020688
United States,1872,126305408
United States,1873,139506800
United States,1874,134296592
United States,1875,135747536
United States,1876,132820000
United States,1877,147175552
United States,1878,143903600
United States,1879,175468960
United States,1880,198684064
United States,1881,210192688
United States,1882,235393680
United States,1883,253882224
United States,1884,267589248
United States,1885,272161920
United States,1886,287462784
United States,1887,307380288
United States,1888,373874560
United States,1889,335541792
United States,1890,401746608
United States,1891,427423920
United States,1892,450448496
United States,1893,454094176
United States,1894,425049648
United States,1895,479947360
United States,1896,480881680
United States,1897,500286224
United States,1898,545320448
United States,1899,625532736
United States,1900,662736992
United States,1901,721525872
United States,1902,764493600
United States,1903,894404384
United States,1904,880221040
United States,1905,984498480
United States,1906,1033339600
United States,1907,1201802992
United States,1908,1050974432
United States,1909,1163352976
United States,1910,1269227920
United States,1911,1256385600
United States,1912,1341210864
United States,1913,1440113216
United States,1914,1315698432
United States,1915,1365268688
United States,1916,1516258464
United States,1917,1668468352
United States,1918,1745584560
United States,1919,1476951072
United States,1920,1735889616
United States,1921,1421972752
United States,1922,1433327488
United States,1923,1894009536
United States,1924,1695592944
United States,1925,1740898304
United States,1926,1888535520
United States,1927,1844838656
United States,1928,1827786400
United States,1929,1960338928
United States,1930,1742210016
United States,1931,1483080944
United States,1932,1256400256
United States,1933,1347183184
United States,1934,1434390048
United States,1935,1490262384
United States,1936,1710695952
United States,1937,1789563552
United States,1938,1513418864
United States,1939,1667863792
United States,1940,1871490592
United States,1941,2039213856
United States,1942,2193896944
United States,1943,2267184272
United States,1944,2440377888
United States,1945,2355340112
United States,1946,2253033904
United States,1947,2480762496
United States,1948,2577052416
United States,1949,2159990288
United States,1950,2535942336
United States,1951,2612369712
United States,1952,2545080352
United States,1953,2605745200
United States,1954,2483052496
United States,1955,2721721792
United States,1956,2852903984
United States,1957,2828611664
United States,1958,2740924816
United States,1959,2823004702
United States,1960,2887820432
United States,1961,2877369848
United States,1962,2984001744
United States,1963,3116022372
United States,1964,3252755199
United States,1965,3388192678
United States,1966,3559179160
United States,1967,3693298171
United States,1968,3828306054
United States,1969,4021502617
United States,1970,4325500825
United States,1971,4351308657
United States,1972,4558452642
United States,1973,4762452212
United States,1974,4592958261
United States,1975,4400795008
United States,1976,4607168187
United States,1977,4735366318
United States,1978,4882964043
United States,1979,4894042875
United States,1980,4716716355
United States,1981,4530369843
United States,1982,4301970691
United States,1983,4335916563
United States,1984,4468262025
United States,1985,4484338153
United States,1986,4487855840
United States,1987,4680834052
United States,1988,4885590503
United States,1989,4948021163
United States,1990,5121264461
United States,1991,5070839400
United States,1992,5174059076
United States,1993,5284687882
United States,1994,5377987137
United States,1995,5439213314
United States,1996,5626186717
United States,1997,5703890708
United States,1998,5752324190
United States,1999,5832250178
United States,2000,6000606067
United States,2001,5902454993
United States,2002,5943651279
United States,2003,5991319569
United States,2004,6106620735
United States,2005,6132005704
United States,2006,6052236286
United States,2007,6130983563
United States,2008,5932775281
United States,2009,5495394958
United States,2010,5701075808
United States,2011,5570706560
United States,2012,5366730281
United States,2013,5519612557
United States,2014,5568759258
United States,2015,5420804127
United States,2016,5310861406
United States,2017,5269529513
