day,ffmc,isi,temp,wind
fri,86.2,5.1,8.2,6.7
fri,91.7,9,8.3,4
fri,63.5,0.8,17,6.7
fri,93.3,13.9,22.9,5.4
fri,92.4,12.2,19,5.8
fri,94.3,15.9,25.4,3.6
fri,88.6,5.8,20.6,1.8
fri,90,8.7,11.3,5.4
fri,86.6,5.3,12.3,0.9
fri,92.4,12.2,23,4.5
fri,92.4,12.2,19.6,5.4
fri,92.4,12.2,19.6,6.3
fri,91.7,9,17.2,4.5
fri,91.2,12.5,15.8,7.6
fri,94.3,15.9,17.7,3.6
fri,91.7,9,15.6,6.3
fri,93.3,13.9,27.6,1.3
fri,86.6,5.3,15.7,3.1
fri,90.1,12.5,14.7,2.7
fri,91.7,7.8,17.4,5.4
fri,85.9,2.8,12.7,6.3
fri,85.9,2.8,13.7,5.8
fri,91.7,9,18.8,4.5
fri,94.3,15.9,19.8,5.4
fri,93.5,8.1,17.2,3.1
fri,90.1,12.5,21.2,8.9
fri,92.5,7.1,23.2,5.4
fri,94.3,15.9,20.1,4.9
fri,92.4,12.2,19,5.8
fri,91.2,12.5,14.6,9.4
fri,93.9,15.1,20.8,4.9
fri,91.2,12.5,11.7,4
fri,93.9,15.1,23.5,5.4
fri,92.4,12.2,19.6,6.3
fri,94.3,15.9,20.1,4.9
fri,93.3,13.9,18.6,3.6
fri,88.3,6.8,13.4,3.6
fri,83,2.3,16.7,3.1
fri,91.6,8.9,11.2,7.6
fri,91.6,8.9,21.4,3.1
fri,91.1,7.1,19.3,3.6
fri,94.3,13,21.8,3.1
fri,84.7,4.1,2.2,4.9
fri,85.2,6.3,7.5,8
fri,91.6,6.3,22.9,1.3
fri,91.1,7.1,19.2,4.5
fri,91.1,7.1,19.2,4.5
fri,92.1,9.6,10.1,3.6
fri,92.1,9.6,17.4,4.5
fri,92.1,9.6,12.8,3.6
fri,92.1,9.6,10.1,3.6
fri,92.1,9.6,15.4,6.3
fri,92.1,9.6,20.6,3.6
fri,92.1,9.6,19.8,2.7
fri,92.1,9.6,18.7,2.2
fri,92.1,9.6,20.8,4.9
fri,92.1,9.6,20.8,4.9
fri,92.5,10.2,15.9,3.6
fri,92.5,10.2,19.7,2.7
fri,92.5,10.2,21.1,2.2
fri,92.5,10.2,18.4,2.2
fri,92.5,10.2,17.3,4
fri,88.2,11.6,15.2,3.1
fri,90.3,7.4,10.3,4
fri,94.8,12,23.3,3.1
fri,94.8,12,23.3,3.1
fri,91.1,7.2,20.7,2.7
fri,94.8,12,25,4
fri,90.3,7.4,19.9,3.1
fri,84.1,2.7,14.7,2.7
fri,84.6,3.3,8.2,9.4
fri,90.6,5.5,22.2,3.6
fri,91.1,7.2,19.1,2.2
fri,90.3,7.4,16.2,3.6
fri,90.7,16.8,14.8,8
fri,90.3,7.4,16.2,3.6
fri,90.5,16.3,11.8,4.9
fri,89.6,5.7,18,4
fri,95.9,11.3,32.4,2.2
fri,95.9,11.3,27.5,4.5
fri,91,7.1,18.5,8.5
fri,91,7.1,25.9,3.6
