Malic acid,Ash,Total phenols,Proanthocyanins
1.71,2.43,2.8,2.29
1.78,2.14,2.65,1.28
2.36,2.67,2.8,2.81
1.95,2.5,3.85,2.18
2.59,2.87,2.8,1.82
1.76,2.45,3.27,1.97
1.87,2.45,2.5,1.98
2.15,2.61,2.6,1.25
1.64,2.17,2.8,1.98
1.35,2.27,2.98,1.85
2.16,2.3,2.95,2.38
1.48,2.32,2.2,1.57
1.73,2.41,2.6,1.81
1.73,2.39,3.1,2.81
1.87,2.38,3.3,2.96
1.81,2.7,2.85,1.46
1.92,2.72,2.8,1.97
1.57,2.62,2.95,1.72
1.59,2.48,3.3,1.86
3.1,2.56,2.7,1.66
1.63,2.28,3,2.1
3.8,2.65,2.41,1.98
1.86,2.36,2.61,1.69
1.6,2.52,2.48,1.46
1.81,2.61,2.53,1.66
2.05,3.22,2.63,1.92
1.77,2.62,2.85,1.45
1.72,2.14,2.4,1.35
1.9,2.8,2.95,1.76
1.68,2.21,2.65,1.98
1.5,2.7,3,2.38
1.66,2.36,2.86,1.95
1.83,2.36,2.42,1.97
1.53,2.7,2.95,1.35
1.8,2.65,2.35,1.54
1.81,2.41,2.7,1.86
1.64,2.84,2.6,1.36
1.65,2.55,2.45,1.44
1.5,2.1,2.4,1.37
3.99,2.51,3,2.08
1.71,2.31,3.15,2.34
3.84,2.12,2.45,1.48
1.89,2.59,3.25,1.7
3.98,2.29,2.64,1.66
1.77,2.1,3,2.03
4.04,2.44,2.85,1.25
3.59,2.28,3.25,2.19
1.68,2.12,3.1,2.14
2.02,2.4,2.75,2.38
1.73,2.27,2.88,2.08
1.73,2.04,2.72,2.91
1.65,2.6,2.45,2.29
1.75,2.42,3.88,1.87
1.9,2.68,3,1.68
1.67,2.25,2.6,1.62
1.73,2.46,2.96,2.45
1.7,2.3,3.2,2.03
1.97,2.68,3,1.66
1.43,2.5,3.4,2.04
0.94,1.36,1.98,0.42
1.1,2.28,2.05,0.41
1.36,2.02,2.02,0.62
1.25,1.92,2.1,0.73
1.13,2.16,3.5,1.87
1.45,2.53,1.89,1.03
1.21,2.56,2.42,2.08
1.01,1.7,2.98,2.28
1.17,1.92,2.11,1.04
0.94,2.36,2.53,0.42
1.19,1.75,1.85,2.5
1.61,2.21,1.1,1.46
1.51,2.67,2.95,1.87
1.66,2.24,1.88,1.03
1.67,2.6,3.3,1.96
1.09,2.3,3.38,1.65
1.88,1.92,1.61,1.15
0.9,1.71,1.95,1.46
2.89,2.23,1.72,0.95
0.99,1.95,1.9,2.76
3.87,2.4,2.83,1.95
0.92,2,2.42,1.43
1.81,2.2,2.2,1.77
1.13,2.51,2,1.4
3.86,2.32,1.65,1.62
0.89,2.58,2.2,2.35
0.98,2.24,2.2,1.46
1.61,2.31,1.78,1.56
1.67,2.62,1.92,1.34
2.06,2.46,1.95,1.35
1.33,2.3,2.2,1.38
1.83,2.32,1.6,1.64
1.51,2.42,1.45,1.63
1.53,2.26,1.38,1.62
2.83,2.22,2.45,1.99
1.99,2.28,3.02,1.35
1.52,2.2,2.5,3.28
2.12,2.74,1.6,1.56
1.41,1.98,2.55,1.77
1.07,2.1,3.52,1.95
3.17,2.21,2.85,2.81
2.08,1.7,2.23,1.4
1.34,1.9,1.45,1.35
2.45,2.46,2.56,1.31
1.72,1.88,2.5,1.42
1.73,1.98,2.2,1.48
2.55,2.27,1.68,1.42
1.73,2.12,1.65,1.63
1.75,2.28,1.38,1.63
1.29,1.94,2.36,2.08
1.35,2.7,2.74,2.49
3.74,1.82,3.18,3.58
2.43,2.17,2.55,1.22
2.68,2.92,1.75,1.05
0.74,2.5,2.48,1.44
1.39,2.5,2.56,1.04
1.51,2.2,2.46,2.01
1.47,1.99,1.98,1.53
1.61,2.19,2,1.61
3.43,1.98,1.63,0.83
3.43,2,2,1.87
2.4,2.42,2.9,1.83
2.05,3.23,3.18,1.87
4.43,2.73,2.2,1.71
5.8,2.13,2.62,2.01
4.31,2.39,2.86,2.91
2.16,2.17,2.6,1.35
1.53,2.29,2.74,1.77
2.13,2.78,2.13,1.76
1.63,2.3,2.22,1.9
4.3,2.38,2.1,1.35
1.35,2.32,1.51,0.94
2.99,2.4,1.3,0.83
2.31,2.4,1.15,0.83
3.55,2.36,1.7,0.84
1.24,2.25,2,1.25
2.46,2.2,1.62,0.94
4.72,2.54,1.38,0.8
5.51,2.64,1.79,1.1
3.59,2.19,1.62,0.88
2.96,2.61,2.32,0.81
